id,oib,name,postcode,city,date,amount,description,level_1,level_2,level_3,level_4,function_level_1,function_level_2,function_level_3,function_level_4,comment,update_date
13,96213733249,"AUTOKUĆA CUPAN D.O.O., TRGOVINA I PORAVAK MOTORNIH VOZILA",43211,PREDAVAC,10.01.2019.,"1.772,74 kn","SERVIS SL.AUTA PASSAT BJ-043-GB (PRIJEPIS RN IZ 2017.)",3,32,323,3232,0,01,011,0111,,
14,96213733249,"AUTOKUĆA CUPAN D.O.O., TRGOVINA I PORAVAK MOTORNIH VOZILA",43211,PREDAVAC,07.01.2019.,"2.091,53 kn","SERVIS SL. AUTA PASSAT BJ-043-GB",3,32,323,3232,0,01,011,0111,,
100,22694857747,"EUROHERC OSIGURANJE D.D.",43000,BJELOVAR,10.01.2019.,"1.186,17 kn","OSNOVNO OSIGURANJE ZA SL.AUTO BJ-965-DR",3,32,329,3292,0,01,011,0111,,
123,58990737591,"FRANZ D.O.O.",43000,BJELOVAR,19.11.2018.,"106,00 kn","PIĆA ZA ČL.KOMISIJE I AUTORE NATJEČAJ.RADOVA ZA BARUTANU",3,32,329,3293,0,01,011,0111,,
314,37828020359,"PPK D.D. BJELOVAR",43000,BJELOVAR,23.05.2018.,"201,40 kn","VODA ZA SLUŽBENE AUTOMOBILE",3,32,329,3293,0,01,011,0111,,
402,93692020864,"VAP  OBRT ZA VULKANIZACIJU -VL.HUSKIĆ HENIZ",43000,BJELOVAR,22.01.2019.,"1.707,50 kn","USLUGA PRANJA SL.AUTOMOBILA 12/2018",3,32,323,3239,0,01,011,0111,,
426,65706775101,"AUTO KLUB  BJELOVAR,",43000,BJELOVAR,28.02.2018.,"320,00 kn","ČLANARINA HAK ZA 2018. GODINU TIHOMIR SOLAR",3,32,329,3294,0,01,013,0131,,
427,65706775101,"AUTO KLUB  BJELOVAR,",43000,BJELOVAR,28.02.2018.,"520,00 kn","ČLANARINA HAK ZA 2018. GODINU - TOMISLAV SVEČNJAK",3,32,329,3294,0,01,013,0131,,
428,65706775101,"AUTO KLUB  BJELOVAR,",43000,BJELOVAR,10.10.2018.,"320,00 kn","ČLANARINA ZA VUJIĆ ZVONIMIRA",3,32,329,3294,0,01,013,0131,,
429,08870961602,"AUTOCENTAR RAJKOVIĆ D.O.O.",43000,BJELOVAR,10.07.2018.,"343,75 kn","SERVIS SL. AUTOMOBILA BJ-584-DK",3,32,323,3232,0,01,013,0131,,
430,08870961602,"AUTOCENTAR RAJKOVIĆ D.O.O.",43000,BJELOVAR,27.02.2018.,"1.027,85 kn","SERVIS SL.AUTOMOBILA BJ219GA",3,32,323,3232,0,01,013,0131,,
431,08870961602,"AUTOCENTAR RAJKOVIĆ D.O.O.",43000,BJELOVAR,10.07.2018.,"2.084,90 kn","SERVIS SL. AUTOMOBILA BJ-310-EG",3,32,323,3232,0,01,013,0131,,
432,08870961602,"AUTOCENTAR RAJKOVIĆ D.O.O.",43000,BJELOVAR,10.07.2018.,"3.927,64 kn","SERVIS SL. AUTOMOBILA BJ-310-EG",3,32,323,3232,0,01,013,0131,,
433,08870961602,"AUTOCENTAR RAJKOVIĆ D.O.O.",43000,BJELOVAR,23.05.2018.,"4.325,08 kn","SERVIS SL.AUTOMOBILA BJ043MT",3,32,323,3232,0,01,013,0131,,
